symbol,name ,exchange
CBOE,CBOE Holdings Inc,American Stock Exchange
ABMD,"ABIOMED, Inc.",NASDAQ
ATVI,"Activision Blizzard, Inc.",NASDAQ
ADBE,Adobe Systems Incorporated,NASDAQ
AMD,ADVANCED MICRO DEVICES INC,NASDAQ
AKAM,"Akamai Technologies, Inc.",NASDAQ
ALXN,"Alexion Pharmaceuticals, Inc.",NASDAQ
ALGN,Align Technology Inc.,NASDAQ
GOOG,"Alphabet, Inc.",NASDAQ
GOOGL,"Alphabet, Inc.",NASDAQ
AMZN,"Amazon.com, Inc.",NASDAQ
AAL,American Airlines Group Inc.,NASDAQ
AMGN,Amgen Inc.,NASDAQ
ADI,ANALOG DEVICES INC,NASDAQ
ANSS,"ANSYS, Inc.",NASDAQ
AAPL,Apple Inc.,NASDAQ
AMAT,"Applied Materials, Inc.",NASDAQ
ADSK,"Autodesk, Inc.",NASDAQ
ADP,AUTOMATIC DATA PROCESSING INC.,NASDAQ
BYND,Beyond Meat Inc.,NASDAQ
BIIB,Biogen Idec Inc,NASDAQ
BKNG,Booking Holdings Inc,NASDAQ
AVGO,Broadcom Inc,NASDAQ
CDNS,CADENCE DESIGNS SYS INC,NASDAQ
CELG,Celgene Corporation,NASDAQ
CERN,Cerner Corporation,NASDAQ
CHRW,CH Robinson Worldwide Inc,NASDAQ
CHTR,Charter Communications Inc.,NASDAQ
CINF,Cincinnati Financial Corporation,NASDAQ
CTAS,Cintas Corporation,NASDAQ
CSCO,"Cisco Systems, Inc.",NASDAQ
CTXS,"Citrix Systems, Inc.",NASDAQ
CME,CME Group Inc.,NASDAQ
CTSH,Cognizant Technology Solutions Corporation,NASDAQ
CMCSA,Comcast Corporation,NASDAQ
CPRT,"Copart, Inc.",NASDAQ
COST,Costco Wholesale Corporation,NASDAQ
CSX,CSX CORP,NASDAQ
XRAY,DENTSPLY International Inc.,NASDAQ
FANG,"Diamondback Energy, Inc.",NASDAQ
DISCA,Discovery Communications Inc,NASDAQ
DISCK,"Discovery Communications, Inc",NASDAQ
DISH,Dish Network Corp.,NASDAQ
DLTR,"Dollar Tree, Inc.",NASDAQ
ETFC,E*TRADE Financial Corporation,NASDAQ
EBAY,eBay Inc.,NASDAQ
EA,Electronic Arts Inc.,NASDAQ
EQIX,"Equinix, Inc.",NASDAQ
EXPE,Expedia Inc.,NASDAQ
EXPD,"Expeditors International of Washington, Inc.",NASDAQ
FFIV,"F5 Networks, Inc.",NASDAQ
FB,Facebook Inc.,NASDAQ
FAST,Fastenal Company,NASDAQ
FITB,Fifth Third Bancorp,NASDAQ
FISV,"Fiserv, Inc.",NASDAQ
FLIR,"FLIR Systems, Inc.",NASDAQ
FTNT,Fortinet Inc.,NASDAQ
FOXA,FOX CORP - CLASS A - W-I,NASDAQ
GRMN,Garmin Ltd.,NASDAQ
GILD,"Gilead Sciences, Inc.",NASDAQ
HAS,HASBRO INC,NASDAQ
HSIC,"Henry Schein, Inc.",NASDAQ
HOLX,"Hologic, Inc.",NASDAQ
HBAN,Huntington Bancshares Incorporated,NASDAQ
IDXX,"IDEXX Laboratories, Inc.",NASDAQ
INFO,IHS Markit Ltd,NASDAQ
ILMN,Illumina Inc,NASDAQ
INCY,"Incyte Pharmaceuticals, Inc.",NASDAQ
INTC,Intel Corporation,NASDAQ
INTU,Intuit Inc.,NASDAQ
ISRG,Intuitive Surgical,NASDAQ
IPGP,IPG Photonics Corporation,NASDAQ
JBHT,"J.B. Hunt Transport Services, Inc.",NASDAQ
JKHY,"Jack Henry & Associates, Inc.",NASDAQ
